Ročník,Téma,Soubor,Problém,Oprava
7,Pohyb a rychlost,05-f7-pohyb-klid-a-pohyb-telesa.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
7,Pohyb a rychlost,05-f7-pohyb-posuvny-rotacni-pohyb.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
7,Pohyb a rychlost,05-f7-pohyb-rychlost-draha-cas.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
7,Pohyb a rychlost,05-f7-pohyb-vypocty-rychlosti.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzikální veličiny,06-hustota-pevnych-latek.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
7,Mechanické vlastnosti kapalin a plynů,07-tlak.md,Possible multiple spaces; Possible paragraph missing punctuation; Gravitational constant value unclear; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
7,Síla,07-trecni-sila.md,Possible multiple spaces; Possible paragraph missing punctuation; Gravitational constant value unclear; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
8,Mechanika tekutin,08-archimedes-vztlaková-sila.md,Possible multiple spaces; Possible paragraph missing punctuation; Gravitational constant value unclear; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
9,Elektřina a magnetismus,09-elektrické-veličiny-ohmův-zakon.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
6,Modely atomů a molekul,f6-atomy-a-molekuly.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Měření času - stopky a kyvadlo,f6-cas-a-jeho-mereni.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f6-cas-a-mereni-cas.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzika 6. ročníku,f6-casticove-slozeni-latek.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Elektrizování těles třením,f6-elektricke-vlastnosti-latek.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f6-elektrina-el-vlastnosti.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-elektrina-jednoduche-obvody.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzika 6. ročníku,f6-gravitacni-sila.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Fyzika 6. ročníku,f6-jednoduche-elektricke-obvody.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Látka a těleso,f6-latka-a-teleso-difuze.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Látka a těleso,f6-latka-a-teleso-hustota.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Látka a těleso,f6-latka-a-teleso-skupenstvi.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Látka a těleso,f6-latka-a-teleso-vlastnosti-latek.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
?,?,f6-latka-atomy-molekuly.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-latka-casticove-slozeni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-latka-skupenstvi-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-latka-telesa-a-latky.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-latka-uvod-fyzika.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzika 6. ročníku,f6-magneticke-vlastnosti-latek.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f6-magnetismus-vlastnosti.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-shrnutí-pokusy.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-shrnutí-pololetní.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-shrnutí-roční.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Síla,f6-sila-gravitace.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Síla,f6-sila-siLometer.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Síla,f6-sila-skladani.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Síla,f6-sila-treni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-sily-gravitace-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-sily-vzajemne-pusobeni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzika 6. ročníku,f6-skupenstvi-latek.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzika 6. ročníku,f6-telesa-a-latky.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
